season,workingday,weathersit,cnt_day,hr,cnt_hour,casual,registered,casual_contribution,registered_contribution
1.0,0.0,1,2288.609756097561,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
1.0,0.0,1,2288.609756097561,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
1.0,0.0,1,2288.609756097561,2,10907,2394,8513,0.21949206931328505,0.780507930686715
1.0,0.0,1,2288.609756097561,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
1.0,0.0,1,2288.609756097561,4,2931,582,2349,0.1985670419651996,0.8014329580348004
1.0,0.0,1,2288.609756097561,5,9452,722,8730,0.07638595006347863,0.9236140499365214
1.0,0.0,1,2288.609756097561,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
1.0,0.0,1,2288.609756097561,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
1.0,0.0,1,2288.609756097561,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
1.0,0.0,1,2288.609756097561,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
1.0,0.0,1,2288.609756097561,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
1.0,0.0,1,2288.609756097561,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
1.0,0.0,1,2288.609756097561,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
1.0,0.0,1,2288.609756097561,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
1.0,0.0,1,2288.609756097561,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
1.0,0.0,1,2288.609756097561,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
1.0,0.0,1,2288.609756097561,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
1.0,0.0,1,2288.609756097561,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
1.0,0.0,1,2288.609756097561,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
1.0,0.0,1,2288.609756097561,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
1.0,0.0,1,2288.609756097561,20,127332,21099,106233,0.165700687965319,0.834299312034681
1.0,0.0,1,2288.609756097561,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
1.0,0.0,1,2288.609756097561,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
1.0,0.0,1,2288.609756097561,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
1.0,1.0,1,3117.1857142857143,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
1.0,1.0,1,3117.1857142857143,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
1.0,1.0,1,3117.1857142857143,2,10907,2394,8513,0.21949206931328505,0.780507930686715
1.0,1.0,1,3117.1857142857143,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
1.0,1.0,1,3117.1857142857143,4,2931,582,2349,0.1985670419651996,0.8014329580348004
1.0,1.0,1,3117.1857142857143,5,9452,722,8730,0.07638595006347863,0.9236140499365214
1.0,1.0,1,3117.1857142857143,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
1.0,1.0,1,3117.1857142857143,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
1.0,1.0,1,3117.1857142857143,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
1.0,1.0,1,3117.1857142857143,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
1.0,1.0,1,3117.1857142857143,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
1.0,1.0,1,3117.1857142857143,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
1.0,1.0,1,3117.1857142857143,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
1.0,1.0,1,3117.1857142857143,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
1.0,1.0,1,3117.1857142857143,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
1.0,1.0,1,3117.1857142857143,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
1.0,1.0,1,3117.1857142857143,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
1.0,1.0,1,3117.1857142857143,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
1.0,1.0,1,3117.1857142857143,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
1.0,1.0,1,3117.1857142857143,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
1.0,1.0,1,3117.1857142857143,20,127332,21099,106233,0.165700687965319,0.834299312034681
1.0,1.0,1,3117.1857142857143,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
1.0,1.0,1,3117.1857142857143,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
1.0,1.0,1,3117.1857142857143,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
2.0,0.0,1,5821.194444444444,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
2.0,0.0,1,5821.194444444444,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
2.0,0.0,1,5821.194444444444,2,10907,2394,8513,0.21949206931328505,0.780507930686715
2.0,0.0,1,5821.194444444444,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
2.0,0.0,1,5821.194444444444,4,2931,582,2349,0.1985670419651996,0.8014329580348004
2.0,0.0,1,5821.194444444444,5,9452,722,8730,0.07638595006347863,0.9236140499365214
2.0,0.0,1,5821.194444444444,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
2.0,0.0,1,5821.194444444444,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
2.0,0.0,1,5821.194444444444,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
2.0,0.0,1,5821.194444444444,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
2.0,0.0,1,5821.194444444444,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
2.0,0.0,1,5821.194444444444,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
2.0,0.0,1,5821.194444444444,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
2.0,0.0,1,5821.194444444444,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
2.0,0.0,1,5821.194444444444,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
2.0,0.0,1,5821.194444444444,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
2.0,0.0,1,5821.194444444444,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
2.0,0.0,1,5821.194444444444,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
2.0,0.0,1,5821.194444444444,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
2.0,0.0,1,5821.194444444444,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
2.0,0.0,1,5821.194444444444,20,127332,21099,106233,0.165700687965319,0.834299312034681
2.0,0.0,1,5821.194444444444,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
2.0,0.0,1,5821.194444444444,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
2.0,0.0,1,5821.194444444444,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
2.0,1.0,1,5421.077922077922,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
2.0,1.0,1,5421.077922077922,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
2.0,1.0,1,5421.077922077922,2,10907,2394,8513,0.21949206931328505,0.780507930686715
2.0,1.0,1,5421.077922077922,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
2.0,1.0,1,5421.077922077922,4,2931,582,2349,0.1985670419651996,0.8014329580348004
2.0,1.0,1,5421.077922077922,5,9452,722,8730,0.07638595006347863,0.9236140499365214
2.0,1.0,1,5421.077922077922,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
2.0,1.0,1,5421.077922077922,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
2.0,1.0,1,5421.077922077922,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
2.0,1.0,1,5421.077922077922,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
2.0,1.0,1,5421.077922077922,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
2.0,1.0,1,5421.077922077922,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
2.0,1.0,1,5421.077922077922,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
2.0,1.0,1,5421.077922077922,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
2.0,1.0,1,5421.077922077922,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
2.0,1.0,1,5421.077922077922,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
2.0,1.0,1,5421.077922077922,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
2.0,1.0,1,5421.077922077922,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
2.0,1.0,1,5421.077922077922,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
2.0,1.0,1,5421.077922077922,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
2.0,1.0,1,5421.077922077922,20,127332,21099,106233,0.165700687965319,0.834299312034681
2.0,1.0,1,5421.077922077922,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
2.0,1.0,1,5421.077922077922,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
2.0,1.0,1,5421.077922077922,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
3.0,0.0,1,5671.871794871795,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
3.0,0.0,1,5671.871794871795,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
3.0,0.0,1,5671.871794871795,2,10907,2394,8513,0.21949206931328505,0.780507930686715
3.0,0.0,1,5671.871794871795,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
3.0,0.0,1,5671.871794871795,4,2931,582,2349,0.1985670419651996,0.8014329580348004
3.0,0.0,1,5671.871794871795,5,9452,722,8730,0.07638595006347863,0.9236140499365214
3.0,0.0,1,5671.871794871795,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
3.0,0.0,1,5671.871794871795,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
3.0,0.0,1,5671.871794871795,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
3.0,0.0,1,5671.871794871795,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
3.0,0.0,1,5671.871794871795,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
3.0,0.0,1,5671.871794871795,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
3.0,0.0,1,5671.871794871795,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
3.0,0.0,1,5671.871794871795,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
3.0,0.0,1,5671.871794871795,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
3.0,0.0,1,5671.871794871795,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
3.0,0.0,1,5671.871794871795,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
3.0,0.0,1,5671.871794871795,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
3.0,0.0,1,5671.871794871795,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
3.0,0.0,1,5671.871794871795,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
3.0,0.0,1,5671.871794871795,20,127332,21099,106233,0.165700687965319,0.834299312034681
3.0,0.0,1,5671.871794871795,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
3.0,0.0,1,5671.871794871795,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
3.0,0.0,1,5671.871794871795,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
3.0,1.0,1,5961.237113402062,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
3.0,1.0,1,5961.237113402062,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
3.0,1.0,1,5961.237113402062,2,10907,2394,8513,0.21949206931328505,0.780507930686715
3.0,1.0,1,5961.237113402062,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
3.0,1.0,1,5961.237113402062,4,2931,582,2349,0.1985670419651996,0.8014329580348004
3.0,1.0,1,5961.237113402062,5,9452,722,8730,0.07638595006347863,0.9236140499365214
3.0,1.0,1,5961.237113402062,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
3.0,1.0,1,5961.237113402062,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
3.0,1.0,1,5961.237113402062,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
3.0,1.0,1,5961.237113402062,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
3.0,1.0,1,5961.237113402062,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
3.0,1.0,1,5961.237113402062,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
3.0,1.0,1,5961.237113402062,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
3.0,1.0,1,5961.237113402062,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
3.0,1.0,1,5961.237113402062,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
3.0,1.0,1,5961.237113402062,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
3.0,1.0,1,5961.237113402062,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
3.0,1.0,1,5961.237113402062,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
3.0,1.0,1,5961.237113402062,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
3.0,1.0,1,5961.237113402062,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
3.0,1.0,1,5961.237113402062,20,127332,21099,106233,0.165700687965319,0.834299312034681
3.0,1.0,1,5961.237113402062,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
3.0,1.0,1,5961.237113402062,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
3.0,1.0,1,5961.237113402062,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
4.0,0.0,1,4775.375,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
4.0,0.0,1,4775.375,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
4.0,0.0,1,4775.375,2,10907,2394,8513,0.21949206931328505,0.780507930686715
4.0,0.0,1,4775.375,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
4.0,0.0,1,4775.375,4,2931,582,2349,0.1985670419651996,0.8014329580348004
4.0,0.0,1,4775.375,5,9452,722,8730,0.07638595006347863,0.9236140499365214
4.0,0.0,1,4775.375,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
4.0,0.0,1,4775.375,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
4.0,0.0,1,4775.375,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
4.0,0.0,1,4775.375,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
4.0,0.0,1,4775.375,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
4.0,0.0,1,4775.375,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
4.0,0.0,1,4775.375,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
4.0,0.0,1,4775.375,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
4.0,0.0,1,4775.375,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
4.0,0.0,1,4775.375,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
4.0,0.0,1,4775.375,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
4.0,0.0,1,4775.375,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
4.0,0.0,1,4775.375,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
4.0,0.0,1,4775.375,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
4.0,0.0,1,4775.375,20,127332,21099,106233,0.165700687965319,0.834299312034681
4.0,0.0,1,4775.375,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
4.0,0.0,1,4775.375,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
4.0,0.0,1,4775.375,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
4.0,1.0,1,5213.841269841269,0,28930,5589,23341,0.19319045973038368,0.8068095402696163
4.0,1.0,1,5213.841269841269,1,16854,3406,13448,0.2020885249792334,0.7979114750207665
4.0,1.0,1,5213.841269841269,2,10907,2394,8513,0.21949206931328505,0.780507930686715
4.0,1.0,1,5213.841269841269,3,5458,1305,4153,0.23909857090509343,0.7609014290949065
4.0,1.0,1,5213.841269841269,4,2931,582,2349,0.1985670419651996,0.8014329580348004
4.0,1.0,1,5213.841269841269,5,9452,722,8730,0.07638595006347863,0.9236140499365214
4.0,1.0,1,5213.841269841269,6,35862,2055,33807,0.057302994813451566,0.9426970051865484
4.0,1.0,1,5213.841269841269,7,96903,5243,91660,0.05410565204379637,0.9458943479562036
4.0,1.0,1,5213.841269841269,8,158998,10223,148775,0.0642964062441037,0.9357035937558963
4.0,1.0,1,5213.841269841269,9,97122,14820,82302,0.1525915858404893,0.8474084141595107
4.0,1.0,1,5213.841269841269,10,85457,23832,61625,0.2788770960834104,0.7211229039165896
4.0,1.0,1,5213.841269841269,11,104725,31648,73077,0.30220100262592503,0.6977989973740749
4.0,1.0,1,5213.841269841269,12,124915,35410,89505,0.2834727614778049,0.7165272385221951
4.0,1.0,1,5213.841269841269,13,131209,39568,91641,0.30156467925218544,0.6984353207478146
4.0,1.0,1,5213.841269841269,14,127726,41936,85790,0.32832782675414557,0.6716721732458544
4.0,1.0,1,5213.841269841269,15,133486,41408,92078,0.3102048154862682,0.6897951845137318
4.0,1.0,1,5213.841269841269,16,171230,41219,130011,0.24072300414646966,0.7592769958535304
4.0,1.0,1,5213.841269841269,17,253718,41317,212401,0.16284615202705366,0.8371538479729463
4.0,1.0,1,5213.841269841269,18,229220,34216,195004,0.14927144228252334,0.8507285577174767
4.0,1.0,1,5213.841269841269,19,171073,27691,143382,0.16186657158055334,0.8381334284194467
4.0,1.0,1,5213.841269841269,20,127332,21099,106233,0.165700687965319,0.834299312034681
4.0,1.0,1,5213.841269841269,21,95842,16277,79565,0.16983159783810856,0.8301684021618915
4.0,1.0,1,5213.841269841269,22,72584,12658,59926,0.1743910503692274,0.8256089496307726
4.0,1.0,1,5213.841269841269,23,46239,8127,38112,0.1757607214688899,0.8242392785311101
1.0,0.0,2,2193.7368421052633,0,8738,1600,7138,0.18310826276035705,0.8168917372396429
1.0,0.0,2,2193.7368421052633,1,6362,1170,5192,0.18390443256837471,0.8160955674316253
1.0,0.0,2,2193.7368421052633,2,4614,861,3753,0.18660598179453836,0.8133940182054616
1.0,0.0,2,2193.7368421052633,3,2341,513,1828,0.21913712088850917,0.7808628791114908
1.0,0.0,2,2193.7368421052633,4,1230,225,1005,0.18292682926829268,0.8170731707317073
1.0,0.0,2,2193.7368421052633,5,4129,249,3880,0.06030515863405183,0.9396948413659482
1.0,0.0,2,2193.7368421052633,6,16191,839,15352,0.05181891174109073,0.9481810882589092
1.0,0.0,2,2193.7368421052633,7,48093,2399,45694,0.04988251928555091,0.9501174807144491
1.0,0.0,2,2193.7368421052633,8,89604,4999,84605,0.055789920092852996,0.944210079907147
1.0,0.0,2,2193.7368421052633,9,55351,7025,48326,0.1269173095337031,0.8730826904662969
1.0,0.0,2,2193.7368421052633,10,36678,9290,27388,0.2532853481651126,0.7467146518348874
1.0,0.0,2,2193.7368421052633,11,42564,10924,31640,0.2566488112019547,0.7433511887980453
1.0,0.0,2,2193.7368421052633,12,51950,12431,39519,0.23928777670837342,0.7607122232916266
1.0,0.0,2,2193.7368421052633,13,46978,11617,35361,0.2472859636425561,0.7527140363574439
1.0,0.0,2,2193.7368421052633,14,40479,11141,29338,0.27522913115442577,0.7247708688455743
1.0,0.0,2,2193.7368421052633,15,40551,10845,29706,0.2674410002219427,0.7325589997780573
1.0,0.0,2,2193.7368421052633,16,44946,10543,34403,0.23457037333689315,0.7654296266631069
1.0,0.0,2,2193.7368421052633,17,62167,9919,52248,0.15955410426753744,0.8404458957324625
1.0,0.0,2,2193.7368421052633,18,61686,8371,53315,0.13570340109587264,0.8642965989041274
1.0,0.0,2,2193.7368421052633,19,45124,6438,38686,0.14267352185089974,0.8573264781491002
1.0,0.0,2,2193.7368421052633,20,28636,4098,24538,0.14310657913116356,0.8568934208688365
1.0,0.0,2,2193.7368421052633,21,23987,3570,20417,0.148830616583983,0.851169383416017
1.0,0.0,2,2193.7368421052633,22,19159,3062,16097,0.15982044991909808,0.840179550080902
1.0,0.0,2,2193.7368421052633,23,14394,2352,12042,0.16340141725719048,0.8365985827428095
1.0,1.0,2,2423.2340425531916,0,8738,1600,7138,0.18310826276035705,0.8168917372396429
1.0,1.0,2,2423.2340425531916,1,6362,1170,5192,0.18390443256837471,0.8160955674316253
1.0,1.0,2,2423.2340425531916,2,4614,861,3753,0.18660598179453836,0.8133940182054616
1.0,1.0,2,2423.2340425531916,3,2341,513,1828,0.21913712088850917,0.7808628791114908
1.0,1.0,2,2423.2340425531916,4,1230,225,1005,0.18292682926829268,0.8170731707317073
1.0,1.0,2,2423.2340425531916,5,4129,249,3880,0.06030515863405183,0.9396948413659482
1.0,1.0,2,2423.2340425531916,6,16191,839,15352,0.05181891174109073,0.9481810882589092
1.0,1.0,2,2423.2340425531916,7,48093,2399,45694,0.04988251928555091,0.9501174807144491
1.0,1.0,2,2423.2340425531916,8,89604,4999,84605,0.055789920092852996,0.944210079907147
1.0,1.0,2,2423.2340425531916,9,55351,7025,48326,0.1269173095337031,0.8730826904662969
1.0,1.0,2,2423.2340425531916,10,36678,9290,27388,0.2532853481651126,0.7467146518348874
1.0,1.0,2,2423.2340425531916,11,42564,10924,31640,0.2566488112019547,0.7433511887980453
1.0,1.0,2,2423.2340425531916,12,51950,12431,39519,0.23928777670837342,0.7607122232916266
1.0,1.0,2,2423.2340425531916,13,46978,11617,35361,0.2472859636425561,0.7527140363574439
1.0,1.0,2,2423.2340425531916,14,40479,11141,29338,0.27522913115442577,0.7247708688455743
1.0,1.0,2,2423.2340425531916,15,40551,10845,29706,0.2674410002219427,0.7325589997780573
1.0,1.0,2,2423.2340425531916,16,44946,10543,34403,0.23457037333689315,0.7654296266631069
1.0,1.0,2,2423.2340425531916,17,62167,9919,52248,0.15955410426753744,0.8404458957324625
1.0,1.0,2,2423.2340425531916,18,61686,8371,53315,0.13570340109587264,0.8642965989041274
1.0,1.0,2,2423.2340425531916,19,45124,6438,38686,0.14267352185089974,0.8573264781491002
1.0,1.0,2,2423.2340425531916,20,28636,4098,24538,0.14310657913116356,0.8568934208688365
1.0,1.0,2,2423.2340425531916,21,23987,3570,20417,0.148830616583983,0.851169383416017
1.0,1.0,2,2423.2340425531916,22,19159,3062,16097,0.15982044991909808,0.840179550080902
1.0,1.0,2,2423.2340425531916,23,14394,2352,12042,0.16340141725719048,0.8365985827428095
2.0,0.0,2,4255.055555555556,0,8738,1600,7138,0.18310826276035705,0.8168917372396429
2.0,0.0,2,4255.055555555556,1,6362,1170,5192,0.18390443256837471,0.8160955674316253
2.0,0.0,2,4255.055555555556,2,4614,861,3753,0.18660598179453836,0.8133940182054616
2.0,0.0,2,4255.055555555556,3,2341,513,1828,0.21913712088850917,0.7808628791114908
2.0,0.0,2,4255.055555555556,4,1230,225,1005,0.18292682926829268,0.8170731707317073
2.0,0.0,2,4255.055555555556,5,4129,249,3880,0.06030515863405183,0.9396948413659482
2.0,0.0,2,4255.055555555556,6,16191,839,15352,0.05181891174109073,0.9481810882589092
2.0,0.0,2,4255.055555555556,7,48093,2399,45694,0.04988251928555091,0.9501174807144491
2.0,0.0,2,4255.055555555556,8,89604,4999,84605,0.055789920092852996,0.944210079907147
2.0,0.0,2,4255.055555555556,9,55351,7025,48326,0.1269173095337031,0.8730826904662969
2.0,0.0,2,4255.055555555556,10,36678,9290,27388,0.2532853481651126,0.7467146518348874
2.0,0.0,2,4255.055555555556,11,42564,10924,31640,0.2566488112019547,0.7433511887980453
2.0,0.0,2,4255.055555555556,12,51950,12431,39519,0.23928777670837342,0.7607122232916266
2.0,0.0,2,4255.055555555556,13,46978,11617,35361,0.2472859636425561,0.7527140363574439
2.0,0.0,2,4255.055555555556,14,40479,11141,29338,0.27522913115442577,0.7247708688455743
2.0,0.0,2,4255.055555555556,15,40551,10845,29706,0.2674410002219427,0.7325589997780573
2.0,0.0,2,4255.055555555556,16,44946,10543,34403,0.23457037333689315,0.7654296266631069
2.0,0.0,2,4255.055555555556,17,62167,9919,52248,0.15955410426753744,0.8404458957324625
2.0,0.0,2,4255.055555555556,18,61686,8371,53315,0.13570340109587264,0.8642965989041274
2.0,0.0,2,4255.055555555556,19,45124,6438,38686,0.14267352185089974,0.8573264781491002
2.0,0.0,2,4255.055555555556,20,28636,4098,24538,0.14310657913116356,0.8568934208688365
2.0,0.0,2,4255.055555555556,21,23987,3570,20417,0.148830616583983,0.851169383416017
2.0,0.0,2,4255.055555555556,22,19159,3062,16097,0.15982044991909808,0.840179550080902
2.0,0.0,2,4255.055555555556,23,14394,2352,12042,0.16340141725719048,0.8365985827428095
2.0,1.0,2,4230.1,0,8738,1600,7138,0.18310826276035705,0.8168917372396429
2.0,1.0,2,4230.1,1,6362,1170,5192,0.18390443256837471,0.8160955674316253
2.0,1.0,2,4230.1,2,4614,861,3753,0.18660598179453836,0.8133940182054616
2.0,1.0,2,4230.1,3,2341,513,1828,0.21913712088850917,0.7808628791114908
2.0,1.0,2,4230.1,4,1230,225,1005,0.18292682926829268,0.8170731707317073
2.0,1.0,2,4230.1,5,4129,249,3880,0.06030515863405183,0.9396948413659482
2.0,1.0,2,4230.1,6,16191,839,15352,0.05181891174109073,0.9481810882589092
2.0,1.0,2,4230.1,7,48093,2399,45694,0.04988251928555091,0.9501174807144491
